IdNr,ManufacturerID,GPSTime,SMSTime,Latitude,Longtitude,BatteryVoltage,GpsDescription,Temperature,GPSIntervals,VHFTelemetry,Activity,GSMSignal,N_satellites,Speed_knots,Altitude,Light,Acc_X,Acc_Y,Acc_Z
1,48500691564,2015-08-01 00:00:50,2015-08-01 02:01:30,61.757366,22.344783,413,FIOS10,19.0,4,0,60,16,,,,,,,
2,48500691564,2015-08-01 02:00:13,2015-08-01 10:01:07,61.757366,22.344966,413,FIOS10,19.0,4,0,109,19,,,,,,,
3,48500691564,2015-08-01 04:00:24,2015-08-01 10:01:07,61.758000,22.344899,413,FIOS10,14.0,4,0,109,19,,,,,,,
4,48500691564,2015-08-01 06:00:25,2015-08-01 10:01:07,61.757200,22.344933,413,FIOS10,17.0,4,0,109,19,,,,,,,
5,48500691564,2015-08-01 08:00:25,2015-08-01 10:01:07,61.758050,22.344749,413,FIOS10,20.0,4,0,109,19,,,,,,,
6,48500691564,2015-08-01 10:00:20,2015-08-01 18:01:41,61.758033,22.344733,414,FIOS10,21.0,4,0,149,19,,,,,,,
7,48500691564,2015-08-01 12:00:21,2015-08-01 18:01:41,61.758016,22.344749,414,FIOS10,20.0,4,0,149,19,,,,,,,
8,48500691564,2015-08-01 14:00:20,2015-08-01 18:01:41,61.758016,22.344766,414,FIOS10,20.0,4,0,149,19,,,,,,,
9,48500691564,2015-08-01 16:00:23,2015-08-01 18:01:41,61.758016,22.344733,414,FIOS10,20.0,4,0,149,19,,,,,,,
10,48500691564,2015-08-01 18:00:25,2015-08-02 02:01:34,61.757966,22.344949,413,FIOS10,20.0,4,0,70,13,,,,,,,
11,48500691564,2015-08-01 20:00:26,2015-08-02 02:01:34,61.757750,22.345266,413,FIOS10,19.0,4,0,70,13,,,,,,,
12,48500691564,2015-08-01 22:00:27,2015-08-02 02:01:34,61.757716,22.345383,413,FIOS10,17.0,4,0,70,13,,,,,,,
13,48500691564,2015-08-02 00:00:48,2015-08-02 02:01:34,61.757800,22.344716,413,FIOS10,24.0,4,0,70,13,,,,,,,
14,48500691564,2015-08-02 02:00:21,2015-08-02 10:01:29,61.758133,22.345416,412,FIOS10,15.0,4,0,137,19,,,,,,,
15,48500691564,2015-08-02 04:00:11,2015-08-02 10:01:29,61.758183,22.344733,412,FIOS10,16.0,4,0,137,19,,,,,,,
16,48500691564,2015-08-02 06:00:24,2015-08-02 10:01:29,61.758000,22.344749,412,FIOS10,25.0,4,0,137,19,,,,,,,
17,48500691564,2015-08-02 08:00:27,2015-08-02 10:01:29,61.758033,22.344749,412,FIOS10,26.0,4,0,137,19,,,,,,,
18,48500691564,2015-08-02 10:00:09,2015-08-02 18:00:42,61.753216,22.366583,413,FIOS10,21.0,4,0,241,19,,,,,,,
19,48500691564,2015-08-02 12:00:20,2015-08-02 18:00:42,61.758016,22.344716,413,FIOS10,28.0,4,0,241,19,,,,,,,
20,48500691564,2015-08-02 14:00:16,2015-08-02 18:00:42,61.758033,22.344699,413,FIOS10,25.0,4,0,241,19,,,,,,,
21,48500691564,2015-08-02 16:00:11,2015-08-02 18:00:42,61.758000,22.344716,413,FIOS10,23.0,4,0,241,19,,,,,,,
22,48500691564,2015-08-02 18:00:25,2015-08-03 02:01:03,61.758000,22.344733,413,FIOS10,20.0,4,0,31,16,,,,,,,
